"","Company","Gender","Age","Occupation","Location","Manufac_country","Make","Model","Cylinder_capacity","Driving_Experience"
"1","1","2","4","1","2","1","1","1","2","3"
"2","1","2","4","7","2","1","1","1","2","4"
"3","1","2","4","1","1","1","1","2","2","4"
"4","1","2","4","1","2","1","1","2","2","4"
"5","1","2","4","1","2","1","1","3","3","4"
"6","1","2","4","1","2","1","8","11","2","2"
"7","1","2","4","5","3","1","1","11","1","4"
"8","1","2","4","1","1","3","5","11","1","4"
"9","1","2","4","1","1","2","8","11","2","1"
"10","1","2","4","6","2","1","2","5","1","1"
"11","1","2","4","1","1","1","1","11","1","4"
"12","1","2","4","2","1","1","2","5","1","1"
"13","1","2","4","1","2","2","3","6","2","4"
"14","1","2","4","1","2","1","1","2","2","4"
"15","1","2","4","7","3","1","1","1","2","3"
"16","1","2","4","7","2","1","1","11","2","4"
"17","1","2","4","7","2","1","1","1","2","4"
"18","1","2","2","3","2","1","1","1","2","4"
"19","1","2","4","7","2","1","1","11","2","4"
"20","1","2","4","2","2","3","5","11","2","4"
"21","1","2","4","5","1","5","7","11","2","4"
"22","1","2","4","7","3","1","1","2","2","4"
"23","1","2","4","1","3","2","3","6","2","4"
"24","1","2","4","7","1","1","1","1","2","4"
"25","1","2","4","3","3","1","1","1","2","4"
"26","1","2","4","7","3","1","2","11","3","4"
"27","1","2","4","1","2","1","1","11","2","4"
"28","1","2","4","1","1","2","3","6","2","2"
"29","1","2","4","3","2","1","1","11","1","1"
"30","1","2","4","1","2","1","1","1","2","4"
"31","1","2","4","1","2","1","8","11","2","4"
"32","1","2","4","1","1","1","1","1","2","4"
"33","1","2","4","1","1","3","5","11","2","4"
"34","1","2","4","1","2","1","1","11","1","4"
"35","1","2","4","1","3","1","1","11","2","4"
"36","1","2","4","1","1","1","1","2","2","4"
"37","1","2","4","7","2","1","1","3","3","4"
"38","1","2","4","1","2","1","1","1","2","4"
"39","1","2","4","6","2","1","1","11","1","4"
"40","1","2","4","7","2","2","3","11","2","4"
"41","1","2","4","7","2","1","1","1","2","4"
"42","1","2","3","2","2","1",NA,"11","2","1"
"43","1","2","4","2","2","3","5","11","2","4"
"44","1","2","4","1","2","1","1","2","2","4"
"45","1","2","4","1","2","1","2","5","1","4"
"46","1","2","4","7","1","3","5","10","2","4"
"47","1","2","4","1","3","1","1","1","2","4"
"48","1","2","4","1","2","1","1","11","2","1"
"49","1","2","4","1","1","1","1","3","3","2"
"50","1","2","4","6","3","1","1","2","2","1"
"51","1","2","4","7","2","1","1","11","1","4"
"52","1","2","4","1","1","1","2","5","1","4"
"53","1","2","4","7","1","3","5","11","2","4"
"54","1","2","4","1","3","1","1","11","1","4"
"55","1","2","4","1","3","1","2","5","1","4"
"56","1","2","4","7","1","1","1","2","2","4"
"57","1","2","4","1","1","1","1","2","2","4"
"58","1","2","4","1","2","1","2","5","1","1"
"59","1","2","4","7","3","4",NA,"11","2","4"
"60","1","2","4","7","2","1","1","1","2","4"
"61","1","2","4","1","2","1","1","4","3","2"
"62","1","2","4","1","2","1","1","11","2","4"
